,作者,字数,小说名称,最新章节,类别,年份,月份,日
7,皇枫,478.8,无上皇座,后记,「玄幻·异世大陆」,2013,10,8
8,蔡晋,478.74,极品医圣,新书《超级英雄》求支持！,「都市·都市生活」,2015,3,3
9,半仙算命,478.31,道藏美利坚,第三十九章采访,「都市·都市生活」,2016,2,1
10,枪手1号,478.21,我为王,后记：,「历史·架空历史」,2016,3,25
11,苍天白鹤,477.49,武神,新书已发，请多多捧场^_^,「玄幻·东方玄幻」,2011,1,13
12,再来一支大雪茄,477.18,全球怪物在线,新书通知,「科幻·末世危机」,2016,1,7
13,我吃西红柿,477.05,吞噬星空,番茄新书《飞剑问道》第一章已经上传！,「科幻·未来世界」,2015,9,24
14,山人有妙计,476.83,传奇族长,请兄弟姐妹支持新书《人道崛起》,「玄幻·东方玄幻」,2017,9,20
15,可大可小,476.67,交锋,新书《后手》6.1日中午十二点首发，敬请关注,「军事·谍战特工」,2018,5,10
16,辛老五,476,俗人重生记,新书《果然重生了》正式发布,「都市·都市生活」,2018,4,9
17,骑猪南下,475.52,无上仙魔,新书《仙武至圣》已上架。,「仙侠·幻想修仙」,2016,1,8
18,鹅是老五,475.52,造化之门,第一五三零章五圣聚，造化生（大结局）,「仙侠·现代修真」,2016,8,9
19,不信天上掉馅饼,475.24,大豪门,完本唠唠嗑,「仙侠·现代修真」,2015,11,30
20,天下第一白,474,重生之网络娱乐,小白新书：重生之我为书狂,「都市·都市生活」,2013,3,31
21,胖子爱吃炖豆角,473.51,胖子的韩娱,完结感言,「都市·娱乐明星」,2016,2,2
22,夜轻雨暖,472.19,两球成名,第二百六十五章那就再见吧（终章）,「体育·足球运动」,2018,7,26
23,边境沙僧,472,星海战神,结束了！,「玄幻·东方玄幻」,2016,9,6
24,冰火阑珊,471.15,大鉴定师,新书《大仙农》已经上传,「都市·都市生活」,2016,4,15
25,很冇节操,467.48,最强丧尸传说,完本公告,「科幻·时空穿梭」,2016,7,4
26,XX神,466.58,超级训练大师,完本感言,「体育·足球运动」,2017,4,13
27,韩错,466.27,大命运,第一百四十七章大结局,「都市·娱乐明星」,2013,5,2
28,尸口巾,465.54,剑极天下,第1519章结局,「玄幻·异世大陆」,2015,9,1
29,蔡晋,463.82,至尊医道,第2233章终结,「都市·异术超能」,2017,9,15
30,封七月,463.58,最强反派系统,完本感言,「武侠·武侠幻想」,2017,12,29
31,百炼成殇,462.74,虚实进化,开新书啦！,「科幻·时空穿梭」,2017,9,8
32,放开那只女王,462.55,少女契约之书,完本感言（新书《逆火》已发布！）,「科幻·时空穿梭」,2013,6,17
33,资产暴增,462.09,机械神皇,本书已经完结新书（11月1号正式上传）,「玄幻·异世大陆」,2017,10,9
34,玄戈,462.06,灵武逆天,00000000完本感言,「玄幻·王朝争霸」,2016,3,16
35,林海听涛,461.59,冠军教父,后记·花絮,「体育·足球运动」,2009,10,30
36,刀一耕,461.03,完美人生,新书《元狩》已发！,「都市·都市生活」,2018,4,18
37,林海听涛,460.09,胜者为王,后记新十年，新征程，我们再出发！,「体育·足球运动」,2016,9,20
38,八月飞鹰,460.04,史上第一祖师爷,新书《星空之主》发布！,「玄幻·异世大陆」,2016,1,12
39,若忘书,459.35,田园牧场,完本感言,「都市·都市生活」,2016,2,9
40,泛东流,457.18,法相仙途,后记（一路走来，请进！）,「仙侠·幻想修仙」,2011,10,31
41,猷莫,456.32,乡下奇农,第1480章大结局,「都市·异术超能」,2016,12,6
42,猪三不,456.23,掌御星辰,猪三新书《造化之王》已肥，请兄弟们支持！,「玄幻·东方玄幻」,2013,12,10
43,耳根,455.6,求魔,新书《一念永恒》，VIP上架啦,「仙侠·幻想修仙」,2013,12,23
44,林海听涛,455.59,冠军传奇,8月24！让我们一同见证一段英雄征程！,「体育·足球运动」,2013,5,29
45,怕冷的火焰,454.42,最终智能,【完本，大结局，感谢所有书友一直以来的支持，谢谢大家。】,「都市·异术超能」,2011,8,15
46,寂寞的化石,453.88,异界那些事儿,新书已上传《我有一个时空门》,「游戏·游戏异界」,2017,11,17
47,那一抹绯红,453.34,史上最牛召唤,终结——后记,「玄幻·异世大陆」,2015,1,2
48,人一介,452.54,三栖特种兵,三栖特种兵，踏上新征程,「都市·都市生活」,2018,1,29
49,普顿,452.41,超级创作大师,大家给新书投下推荐票啊！,「都市·都市生活」,2016,5,18
0,汉风雄烈,451.46,主宰江山,新书《长风万里尽汉歌》今日上架,「历史·清史民国」,2017,11,21
1,战袍染血,450.61,道果,完结感言,「仙侠·修真文明」,2015,11,19
2,午后方晴,450.24,北宋士大夫的非人生活,九百三十章雪（终）,「历史·两宋元明」,2013,9,23
3,金沙流水,449.47,星际之死神传奇,金沙的新书《主宰万界》,「科幻·星际文明」,2016,7,25
4,滚开,449.17,神秘之旅,1377无限的新生（大结局）,「奇幻·史诗奇幻」,2015,12,14
5,孑与2,446.19,唐砖,新书预告，《银狐》登陆,「历史·两晋隋唐」,2015,11,20
6,闭口禅,446.09,位面成神之虚空戒,新书已发布《位面之狩猎万界》求推荐、收藏。,「科幻·时空穿梭」,2017,11,6
7,陶良辰,445.21,大牧场主,后记,「都市·都市生活」,2018,2,23
8,孤独漂流,444.04,武墓,发布读者群,「仙侠·神话修真」,2017,6,6
9,爱潜水的乌贼,443.71,一世之尊,新书《诡秘之主》,「玄幻·东方玄幻」,2016,10,8
10,穷四,441.92,超品奇才,完本感言,「都市·都市生活」,2017,5,24
11,大哥有枪,441.79,我的岳父大人叫吕布,第九百五十七大结局,「历史·秦汉三国」,2016,2,10
12,落寞的蚂蚁,441.38,反转人生,1515.互相算计,「都市·都市生活」,2015,5,6
13,通吃道人.QD,440.77,废土崛起,《斩龙》,「科幻·时空穿梭」,2018,1,5
14,来不及忧伤,440.72,港娱1975,结束语,「都市·都市生活」,2018,7,26
15,华表,440.3,苍穹龙骑,番外：第1635节-王,「玄幻·王朝争霸」,2016,8,12
16,辛老五,440.18,巫术师,新书《果然重生了》正式发布,「玄幻·异世大陆」,2015,11,9
17,无极书虫,439.9,太浩,同人：如果没有梦蝶的世界34,「仙侠·修真文明」,2016,2,22
18,苦涩的甜咖啡,436.94,九转金身决,第两百三十一章终极之战（大结局）,「仙侠·现代修真」,2010,6,30
19,宁小钗,436.37,平凡的明穿日子,第一千三百零五章大婚事,「历史·两宋元明」,2016,1,28
20,千年静守,435.55,超级电子帝国,完本感言,「都市·都市生活」,2016,2,22
21,路书一阁,434.74,无渊大地,第一千四百三十四章大结局,「奇幻·剑与魔法」,2016,6,1
22,浅悠凉,434.34,无限之血统,新书《万物炼身诀》！！！创世首发！！！,「科幻·时空穿梭」,2015,9,22
23,高森,432.23,皇牌龙骑,第一千二百六十五章我们回家,「玄幻·王朝争霸」,2016,5,27
24,药王爷,431.8,超级美食帝国,章两千七十七：我是食神（大结局）,「玄幻·异世大陆」,2017,12,4
25,静夜寄思,431.61,仙界归来,万界番外篇（四）雷霆万钧灭神殿，运筹帷幄统万界,「都市·异术超能」,2018,3,28
26,余云飞,431.26,暴风法神,完本感言以及推我的新书《美漫法神》,「奇幻·剑与魔法」,2018,8,2
27,果味喵,428.63,绝顶唐门,完结感言⊙_⊙番外预告⊙▽⊙完本拉票,「游戏·虚拟网游」,2015,1,21
28,完颜小白,428.47,超级脂肪兑换系统,完本感言与新书,「都市·异术超能」,2015,9,1
29,亚舍罗,428.45,玄霸九天,第一九七四章大结局，重整乾坤,「玄幻·东方玄幻」,2015,6,18
30,青翼蝠王,428.34,化星,完本感言（三）,「玄幻·东方玄幻」,2012,10,10
31,六道沉沦,427.89,亡灵法师末世行,泪流满面了,「科幻·末世危机」,2012,11,27
32,最无聊4,426.48,全能戒指,完本感言。,「都市·异术超能」,2015,3,16
33,东人,425.62,宝瞳,新书《重生之资本帝国》已经上传！,「都市·都市生活」,2016,7,14
34,开荒,424.68,君临,开荒新书《纨绔邪皇》已发布！,「仙侠·幻想修仙」,2011,12,30
