,作者,字数,小说名称,最新章节,类别,年份,月份,日
30,空遗憾,52.75,法神崛起,第233章大结局,「游戏·虚拟网游」,2016,10,8
31,赤白墨,52.75,天下第一侠,抱歉,「科幻·时空穿梭」,2018,8,8
32,太行翠峰,52.74,屠神灭魔异界行,写在后面的话。,「玄幻·异世大陆」,2008,6,10
33,第三回本,52.73,大圣书,第二三零章论道，终始（下）,「仙侠·神话修真」,2017,4,1
34,剑道尘心,52.72,左道,结束语,「仙侠·现代修真」,2008,4,15
35,何多念,52.71,超级多开,结局+后记,「游戏·虚拟网游」,2015,11,30
36,子弹煲汤,52.7,抗日之兵魂传奇,第二五五章最后一战,「军事·抗战烽火」,2018,3,1
37,符小妖,52.69,放开那个魔法师,第五十五章大结局,「二次元·原生幻想」,2018,1,5
38,秀士狂生,52.67,绝世凶妖,致我亲爱的读者,「仙侠·神话修真」,2017,8,1
39,一行白鹭上青天,52.67,蛊惑魔王,这本书写不下去了,「奇幻·黑暗幻想」,2018,3,12
40,沐轶,52.65,纳妾记II,PS：,「历史·两宋元明」,2009,6,16
41,余之雨,52.63,超级玩具,开新书了,「科幻·超级科技」,2012,7,14
42,屁屁阳,52.61,衰神天下,第二百一十章大结局,「都市·异术超能」,2015,7,1
43,深海孔雀,52.61,末日之超级英雄,第一百六十一章超能时代（大结局）,「科幻·末世危机」,2012,8,14
44,醉寒,52.6,末世之重生成树,新书已经十万字了，可以开宰了,「科幻·末世危机」,2016,1,22
45,萧夜无,52.55,地狱转生,完本感言,「灵异·灵异鬼怪」,2017,11,14
46,夜半爱睡觉,52.53,重生十年前,第九十六章仓促的结尾,「都市·都市生活」,2018,3,29
47,壶山小农,52.53,二次元岛主,第两百五十四章大结局,「二次元·原生幻想」,2018,7,1
48,潇兮子,52.48,我是大熊猫之萌主大人,第二百四十四章意料之外（大结局）,「玄幻·异世大陆」,2018,4,13
49,虾贝,52.48,都市之修炼狂潮,大完结,「都市·异术超能」,2017,3,22
0,稻草人骑士,52.47,剑之公主,后记&#183;一切伊始,「奇幻·剑与魔法」,2015,4,15
1,西步,52.42,军火供应商,第二百五十三章：南方联盟投降,「游戏·游戏异界」,2017,4,10
2,爱睡觉的猪,52.37,见习阴差,终章,「玄幻·东方玄幻」,2009,3,25
3,南风飞翼,52.34,镇国大将军,第200章暴君伏诛，天下安定,「历史·架空历史」,2014,3,7
4,暗魔师,52.32,紫心传说,第169章大结局,「科幻·星际文明」,2008,4,13
5,执笔述话,52.3,游戏人生当赢家,第二百三十四章都是圈套（大结局）,「二次元·原生幻想」,2017,4,30
6,沉默独自在,52.27,逐鼎大明,最终章中国崛起 和平万岁,「历史·两宋元明」,2009,10,20
7,独孤黑马,52.27,和珅新传,第四卷 大清钱庄190章尧天舜日（大结局）,「历史·清史民国」,2008,6,30
8,青羽山人,52.25,极品妖神,第二百四十四章曲终人未散,「都市·异术超能」,2017,11,22
9,下午是妖,52.24,等级退化,新的开始,「游戏·游戏异界」,2017,2,6
10,狮子生87,52.23,英雄巅峰是无敌,第一百一十八章特洛克之威,「游戏·虚拟网游」,2013,4,15
11,竹间飞舞,52.21,闹天宝,第二百四十六章千古谜团,「历史·两晋隋唐」,2018,5,23
12,雁九,52.21,天官,第一百七十五章余音（大结局）,「历史·两宋元明」,2013,7,30
13,小楼昨夜轻风,52.17,一品权宦,第205章隐退（大结局）,「历史·架空历史」,2015,8,27
14,任东流,52.16,巫战星宇,第两百一十五章结局之章（结束了）,「科幻·古武机甲」,2009,9,16
15,猛子,52.15,大隋风云,统一的突厥汗国和分裂的中土之关系,「历史·两晋隋唐」,2008,8,5
16,昆承君,52.1,极品仙尸,第257章金丹期的法术,「仙侠·现代修真」,2017,10,17
17,爱之,52.09,精神主宰,一个不算交代的交代,「科幻·古武机甲」,2016,3,29
18,书到用时方恨少01,52.07,洪荒旧时,尾声逍遥游,「仙侠·修真文明」,2010,4,20
19,技术宅,52.07,异界之位面大穿越,第二十章斩杀赵穆,「游戏·游戏异界」,2017,6,30
20,诸葛轩晨,52.05,永恒神战,章一八三四季之衰,「奇幻·剑与魔法」,2018,5,7
21,细雨不语,52.05,修真手册,随便说说,「仙侠·幻想修仙」,2016,6,29
22,零梦风海,52.04,空之梦域,完本感言,「游戏·虚拟网游」,2018,8,13
23,此间醉,52.03,重生闪耀香江,终章：结束不是终点,「都市·娱乐明星」,2017,11,13
24,戴三块表的河蟹,52,等待外星人,第一百六十章大结局（本章免费）,「玄幻·异世大陆」,2009,6,25
25,晓晓剑,51.95,吞天狂尊,第二百章女神雕像的秘密,「玄幻·东方玄幻」,2015,11,3
26,猪多多,51.9,宅男之游戏人生,第一百九十六章大结局（补四）,「都市·异术超能」,2008,9,30
27,囧囧无声,51.88,无限次元大教主,第187章：寻宝去,「科幻·时空穿梭」,2017,11,17
28,我真不是大神,51.87,从老爷爷开始,第一百七十一章分赃,「仙侠·幻想修仙」,2017,8,8
29,养虎伤身,51.86,我来自1949,第164章：过去、现在、未来、结束、新的开始、大结局,「都市·都市生活」,2016,1,4
30,逸星晨,51.86,V家传说,第两百五十章,「都市·都市生活」,2017,4,20
31,飞鱼提督,51.85,明末为匪,新书《时空大掌柜》已经上传，感兴趣的朋友不妨看看,「历史·架空历史」,2016,8,2
32,霍听婷,51.82,半世沧海,如果这就是尾声——江山胜概风霜地,「短篇·短篇小说」,2012,12,18
33,风火魔动,51.81,蛊祖传说,第二百三十七章大结局,「玄幻·东方玄幻」,2017,6,8
34,外婆桥下,51.81,城战系统,第十二章：再见是为了更好的归来,「玄幻·异世大陆」,2017,9,19
35,冲锋号角,51.79,抗美援朝之尖刀连,第二百三十五章大结局,「军事·军事战争」,2018,5,21
36,网地,51.78,植物宗师,第一百九十八章大结局,「玄幻·异世大陆」,2018,5,10
37,哈啰摩头,51.77,海贼王之永久正义,第239章达斯琪的剑术,「二次元·衍生同人」,2017,8,21
38,树上灵猴,51.76,极品庖丁之奸商本色,第二百二十九章（大结局）强势崛起 万国来朝,「历史·架空历史」,2018,1,11
39,威廉姆斯,51.75,失控的电影世界,新书发布，求支持！,「科幻·时空穿梭」,2016,2,25
40,晓尘君与喵酱,51.75,超电磁炮的救赎,第二十一章第三次圣杯战争观测（真·结局）,「二次元·衍生同人」,2016,7,18
41,魂澈,51.72,位面任务发布系统,第232章邪兵,「科幻·时空穿梭」,2017,3,26
42,彼女猫,51.69,即便如此小镇仍然运转,算是完结感言吧！,「二次元·青春日常」,2018,5,7
43,徐晃班长,51.68,武学直播间,新书——《穿越者俱乐部》,「都市·都市生活」,2017,7,12
44,六品菠萝,51.68,天仙经纪人,新书《超级妖精农场》发布。,「都市·异术超能」,2016,7,26
45,黑暗阿木,51.67,绝地求生之直播系统,单章,「游戏·电子竞技」,2018,5,31
46,通天塔主,51.66,重生之通天塔主,第218章：大梦未醒？大结局！,「玄幻·东方玄幻」,2017,3,24
47,东与升,51.64,海贼之最强画皇系统,第283,「二次元·衍生同人」,2018,8,7
48,袁文恒,51.63,网游之金不换,终章龙欺心的时代,「游戏·虚拟网游」,2016,5,10
49,一起数月亮,51.61,老衲不是唐僧,第251章七十亿,「都市·异术超能」,2018,7,23
0,蚕火东灵鱼,51.6,殓骨人,第九十七章大结局·结案,「灵异·灵异鬼怪」,2017,9,1
1,两只兔子,51.6,我要做明君,完本感言,「历史·架空历史」,2016,8,31
2,生活盖浇,51.59,白学时代,emmmmmmm,「都市·娱乐明星」,2018,7,20
3,北城文刀,51.59,我混冥界那几年,第一百二十一章：结束,「灵异·灵异鬼怪」,2017,12,27
4,陌路行,51.56,大修真时代1.0,跟大家说个鬼故事,「仙侠·现代修真」,2016,12,27
5,天豪.QD,51.56,秦末魏武帝,后记，天下归一（全书完）,「历史·秦汉三国」,2009,7,29
6,臣之,51.56,吾为大师兄,新书已发！！！,「仙侠·修真文明」,2017,9,26
7,青幕山,51.56,危机,【标题】新书《魔能战神》正式发布！,「科幻·超级科技」,2016,11,16
8,水管工,51.55,横行时空的倒爷,完本感言,「都市·异术超能」,2016,4,12
9,白饭客官,51.54,在异世界成为冒险家的那些年,完结感言,「二次元·原生幻想」,2017,9,11
10,紫楼,51.53,无上道君,致读者，请务必一看。,「仙侠·幻想修仙」,2011,11,1
11,修行人,51.53,忽雷战兵,第二百五十章此致敬礼,「军事·军旅生涯」,2017,5,2
12,书虹,51.49,暗武大帝,新书发布,「奇幻·剑与魔法」,2016,8,23
13,一路征伐,51.47,无限三国之群英重生,第二百二十一章地位转变,「历史·秦汉三国」,2013,12,2
14,等出墙的红杏,51.43,超时空二道贩子,第一百九十章一切随缘一切随梦！,「都市·都市生活」,2016,7,4
15,九零宅,51.39,带着罗盘逛位面,也不知道该说些什么，唯有感谢！,「科幻·时空穿梭」,2017,3,12
16,枫夜弄弦,51.37,火影之炼金术师,最后一次更新本书，这是完本感言,「二次元·衍生同人」,2018,1,23
17,暴风雨中,51.36,危险角色,第八章迈克•威尔的邀请,「都市·都市生活」,2009,3,31
18,黑色的巨龙,51.36,火影之最强修炼系统,第二百四十一章大结局,「二次元·衍生同人」,2018,3,31
19,大胸美少女,51.33,变身霸道猫女总裁,第239章烂尾了,「二次元·变身入替」,2017,6,26
20,缝补破碎的心,51.33,幽冥渡灵人,第二百二十五章:尘埃落定（大结局）,「灵异·灵异鬼怪」,2018,5,2
21,熊爱吃鱼,51.32,重生之山村传奇,新书上传,「都市·都市生活」,2015,5,22
22,赏金猎狼,51.32,重生之漫画大召唤,第九十八章危机一刻！,「都市·异术超能」,2012,6,30
23,水善,51.28,史上第一妖,第一百七十五章尾声,「玄幻·东方玄幻」,2009,9,29
24,醉不得,51.23,我用梦境来证道,第二百四十三章大结局,「玄幻·异世大陆」,2018,4,2
25,云海之南,51.23,喰天记,第一百六十四章狂风解禁,「奇幻·剑与魔法」,2017,11,2
26,三霄女,51.22,我就是大玩家,告各位读者：,「都市·都市生活」,2017,10,25
27,墨堤,51.17,无敌少掌门,第二百一十六章无敌少掌门（大结局）,「武侠·武侠幻想」,2017,6,12
28,寒气阵阵,51.17,开心鬼在都市,第二百五十二章回到大都市（大结局）,「灵异·灵异鬼怪」,2016,12,5
29,元猛,51.13,仙界竞技王,第五十章仙界运动会,「仙侠·神话修真」,2017,6,6
30,江南三十,51.12,重生时代巨头,第234章发动群众的力量,「都市·都市生活」,2017,6,30
31,枉生此间,51.1,英雄联盟之君临,《御神章：死与新生》新书正式发布,「游戏·电子竞技」,2017,2,22
32,coxi,51.1,混在东吴吃软饭,第六章大统,「历史·秦汉三国」,2014,12,1
33,爷酥了,51.08,不想当海贼王的剑豪大人,第二百四十一章终章,「二次元·衍生同人」,2018,1,23
34,甲鱼牛宝宝,51.05,最强皇帝,新书《超神进化》上传啦，,「玄幻·王朝争霸」,2017,6,8
35,雪燃O,51.05,荒域求生,一百七十二.开始或结束,「灵异·寻墓探险」,2018,8,16
36,琢玉成器,51.04,最炫酒仙,第二百二十四章大结局,「玄幻·东方玄幻」,2016,3,28
37,张一飞,50.99,烽火之民兵崛起,最后一章：结局,「军事·抗战烽火」,2018,8,13
38,将年兮,50.98,为天道工作的日子,这个才是新书！！！,「二次元·衍生同人」,2018,7,11
39,飘逸道长,50.96,机智女孩历险记,番外：不认也得认（林国立篇）,「短篇·儿童文学」,2018,6,4
40,幻想三源色,50.95,云上法师,终章结束与开始,「奇幻·剑与魔法」,2014,8,25
41,一定会火,50.95,变身一拳唐僧,完结感言+新书推荐,「二次元·变身入替」,2017,8,14
42,徐十五,50.94,红楼之贾琏攻略,第二百二十二章圆满（大结局）,「历史·架空历史」,2017,3,7
43,在路上的驴友,50.92,神医毒圣在都市,第一百二十五章结局,「都市·异术超能」,2014,1,13
44,沙发果断,50.92,绝对主角,新书已发布,「科幻·未来世界」,2017,2,15
45,惊涛骇浪,50.89,合同情人,后记,「都市·恩怨情仇」,2008,4,17
46,落日人烟,50.88,超级分析系统,第244章五个女生一台戏（大结局）,「玄幻·异世大陆」,2018,5,29
47,原始中华,50.88,原始中华,第二百一十一章终章,「历史·上古先秦」,2008,1,4
48,榆柳南山,50.86,最强召唤师之精灵系统,第216章负伤,「二次元·原生幻想」,2017,12,12
49,出土的赝品,50.86,英伦休闲生活,终章,「都市·都市生活」,2017,3,7
0,革命咖啡,50.86,羽林大将军,第一百二十二章当山贼去,「历史·秦汉三国」,2009,6,30
1,翻车大师,50.84,我家的猫会修仙,大结局,「都市·都市生活」,2018,6,13
2,瞳中的黑暗,50.81,卡卡西的时代,第212章始大陆！,「二次元·衍生同人」,2016,12,2
3,御品奶黄包,50.8,三国城市,最后一章唉,「游戏·虚拟网游」,2017,7,18
4,饭,50.8,日服第一王者,推荐小说《炉石卡师》,「二次元·原生幻想」,2017,4,14
5,蒜苗蒜苗,50.79,我为汉尼拔,第一百九十章终章,「历史·外国历史」,2018,4,11
6,八品仙人球.QD,50.77,黑科造神,第二百三十一章：战争之路（大结局）,「科幻·超级科技」,2017,6,21
7,自由与荣耀,50.77,明末之逆流战神,第二卷 大西劲旅166进山上香,「历史·两宋元明」,2007,11,12
8,月下吟风,50.77,崛起无敌,第二百三十二章大结局,「玄幻·东方玄幻」,2017,10,10
9,饭,50.77,异世界的攻略系统,推荐小说《炉石卡师》,「二次元·原生幻想」,2017,11,1
10,温玉老贼,50.76,版本测试员,大结局仙人左慈,「二次元·原生幻想」,2017,9,4
11,流鼻涕的猪,50.74,超神明星,第二一八章大禹九鼎的秘密,「都市·娱乐明星」,2016,11,21
12,泡泡妹妹,50.73,绝对掌控,新书上传《至高密令》,「科幻·超级科技」,2017,1,31
13,墨渊九砚,50.69,往生门扉,完结感言,「二次元·衍生同人」,2018,9,3
14,小小天下飞,50.69,我电脑中的异界,大结局别了，地球（全书完）,「玄幻·异世大陆」,2015,7,19
15,李兴禹,50.69,帝王进化论,第一百七十五章团圆喽！（第一部完）,「玄幻·异世大陆」,2007,12,22
16,夏枯草来回飞,50.68,阴魂散,番外——《猫惊尸》有声小说,「灵异·灵异鬼怪」,2015,10,19
17,竖子不可教,50.64,重生之我是后羿,完本总结！（免费）,「仙侠·修真文明」,2015,2,22
18,天生狂道,50.63,秩序之印,199章不是结局的大结局,「玄幻·异世大陆」,2009,9,16
19,长山赤月生,50.63,足球三国,完本感言,「体育·足球运动」,2017,8,7
20,菌菌一笑,50.62,洪荒之妖圣白泽,对不起,「仙侠·古典仙侠」,2018,1,24
21,深夜的饼屋,50.62,钓鱼系统,完本感言,「都市·都市生活」,2017,10,19
22,风月人不知,50.61,云弄江湖,第二百四十章决战天下（二）,「游戏·虚拟网游」,2016,8,31
23,三猪公,50.61,武道之钢铁之躯,第0195章沙漠与海洋的王（大结局）,「玄幻·高武世界」,2017,9,19
24,正月牛,50.6,竞选天球长,再见,「都市·异术超能」,2017,6,5
25,比企谷一番,50.59,漫画之食梦者,新书出来了！,「二次元·衍生同人」,2018,6,1
26,高五学长,50.59,系统大佬异界行,第二百章结束(大结局),「军事·战争幻想」,2018,8,21
27,愚直,50.58,SEED之逆袭的紫菜头,第二百三十五章战后,「二次元·衍生同人」,2018,8,20
28,双人徐丰色,50.57,师士无双,大结局【毒坑，入内谨慎】,「科幻·古武机甲」,2012,5,30
29,李承枫GG,50.54,乱唐天下,大结局+完本感言,「游戏·游戏异界」,2018,4,30
30,日日生,50.52,明末第一强藩,第二百三十七流言四起,「历史·两宋元明」,2018,8,10
31,专卖飞行符,50.52,异界之灵台方寸山,新书推荐《火影忍者之千年积木》,「二次元·衍生同人」,2017,7,25
32,叶秋臣,50.5,超级智商恋人,第一百章大结局,「短篇·短篇小说」,2013,6,6
33,青萍歌,50.48,我成了一柄绝世神剑,39.被热死了！！,「仙侠·幻想修仙」,2017,8,1
34,丹桂太阳,50.47,从杂役到大帝,关于结局。,「玄幻·东方玄幻」,2017,5,10
35,漂泊的萝卜,50.46,荒岛求生日记,新书《妖王的铲屎官》已发求支持,「现实·现实百态」,2017,12,1
36,juhg,50.42,西游之小白龙,第二百四十七章,「仙侠·幻想修仙」,2018,1,22
37,剑游太虚,50.42,超级进化者,第二百五十二章神核，正神（大结局）,「科幻·时空穿梭」,2011,10,27
38,十狼阵,50.41,网游三国之权倾天下,第158节拜访曹操,「游戏·虚拟网游」,2010,6,28
39,忆点快乐,50.41,美食鉴定家,完结感言,「都市·都市生活」,2017,8,7
40,我奶霸也,50.38,位面之最强绿巨人,第025章：完结感言,「科幻·时空穿梭」,2016,4,20
41,卷发碎花,50.38,重写人生,新书开了……,「都市·都市生活」,2017,2,15
42,NIBIRU,50.37,熔炉,第五十二章：最终章,「短篇·短篇小说」,2010,5,5
43,幻之破灭,50.37,带着系统的审判天使,第二百四十五章草草完结,「二次元·原生幻想」,2018,5,7
44,歪倒,50.36,我的老婆是千年妖狐,第一百九十八章三界一统（全书完）,「仙侠·现代修真」,2008,11,10
45,草头强,50.36,往返熊出没,第二百三十章结局,「都市·都市生活」,2016,2,26
46,北海南山,50.35,神级主角系统,第二百四十章大结局,「玄幻·东方玄幻」,2017,8,9
47,浙东匹夫,50.34,繁荣末世大逃杀,第50章我不是五元（大结局）,「都市·异术超能」,2018,8,6
48,紫色大树,50.34,绝代霸主系统,第239章皇袍加身天下一统（大结局）,「历史·架空历史」,2018,2,1
49,柴郡虎,50.34,最终强化,完本感言,「玄幻·异世大陆」,2017,11,9
0,越冬,50.34,天神继任者,第225后记（全书完）,「玄幻·异世大陆」,2017,5,2
1,hot,50.33,极品阴阳师,第一百九十五章大结局（上）（兼道歉）,「都市·异术超能」,2013,4,30
2,九拙,50.32,回梦奇缘,新书《乱世小神医》发布！,「历史·两宋元明」,2016,9,5
3,醉宅,50.3,无限之复制,第一百七十三章选择和结局,「科幻·进化变异」,2016,7,6
4,文字梦工厂,50.3,卡牌召唤系统,第182章挽歌（大结局）,「玄幻·异世大陆」,2013,8,21
5,心驰神往之,50.3,献祭之光,完结,「奇幻·史诗奇幻」,2018,6,12
6,月凉吖,50.3,王者荣耀之电竞传奇,231章全剧终,「游戏·电子竞技」,2018,7,11
7,三寸暖阳,50.3,位面漫游之旅,请假通告,「科幻·时空穿梭」,2017,10,9
8,长生剑,50.3,疯狂反穿,写在文章结尾的话,「都市·异术超能」,2009,6,30
9,天朝宅生,50.29,重生巫师之途,第一百八十五章另一个结局,「奇幻·剑与魔法」,2018,4,2
10,剑若生,50.23,次元旅店,第二百三十七章大结局！,「科幻·时空穿梭」,2016,3,1
11,文刀六,50.23,非可塑性史诗,第二百四十三章：棋书画,「二次元·搞笑吐槽」,2017,11,2
12,秦腔楚狂人,50.23,红楼大商人,第二三零章：结局,「历史·架空历史」,2018,9,3
13,秋城水,50.22,三国修改器,第二百三十三章天下一统,「历史·秦汉三国」,2016,12,14
14,墨舞山河,50.2,斗天仙途,第二百二十六章了结恩怨,「仙侠·幻想修仙」,2017,8,22
15,怀旧书生,50.17,英雄联盟之超然存在,第一百一十一章：大结局,「游戏·游戏主播」,2018,7,26
16,奔跑的傻兔,50.17,王侯将相系统,兔子的致歉信,「历史·架空历史」,2017,11,7
17,带你去月球,50.16,黑科技危机,第十三章结局,「科幻·星际文明」,2017,6,7
18,一丝不苟,50.16,校花的贴身狂少,新书【超级战兵】已经发布！,「都市·都市生活」,2013,2,28
19,沐月浅醉,50.15,九宫秘录,第二十七节：大结局,「仙侠·幻想修仙」,2015,5,22
20,望潮,50.14,重生松鼠大作战,第二百四十五章同居时代,「奇幻·另类幻想」,2017,3,20
21,墨丑,50.13,变身神级女明星,更新说明,「二次元·变身入替」,2017,8,14
22,鸿蒙树,50.11,三国残兵,第一百八十三章穿越盛世（大结局）,「历史·秦汉三国」,2008,11,30
23,言诚,50.11,福地,第一三零章圣人出世（完结）,「玄幻·东方玄幻」,2010,5,31
24,出云道人,50.1,邪风道骨,第222章仙庭坠落,「玄幻·东方玄幻」,2017,11,21
25,枢元生,50.09,车坛至尊,第二百二十三章世界称王（结局）,「体育·体育赛事」,2018,4,3
26,郝经纬,50.08,霹雳之妖道逆袭,第二百三十七章后记,「二次元·变身入替」,2018,2,24
27,我吃小西红柿,50.08,娱乐之大亨,新书召唤读者,「都市·娱乐明星」,2011,4,29
28,李修哲,50.07,莽进科技侧的武神,第二百四十章小黑人（大结局）,「都市·异术超能」,2017,12,11
29,黑舞者,50.07,长生于天,番外篇,「仙侠·幻想修仙」,2018,2,6
30,淡开水,50.03,国师传奇,第二百三十六章喜上加喜,「历史·架空历史」,2018,1,22
31,渊岳,50.01,那个战士有点硬,终章用余生去看,「奇幻·剑与魔法」,2017,7,11
32,鸣一刀,50.01,天榜化龙诀,前言与尾声,「武侠·武侠幻想」,2016,12,1
33,苦力侠,50,塔魔,大结局,「玄幻·王朝争霸」,2010,6,13
34,脸大的枫叶,49.99,第十地区,最终章大结局拉，就是收个尾！！！,「科幻·星际文明」,2018,9,3
35,崛起的呱呱呱,49.99,随身恶魔城,第二百一十六章意外,「游戏·游戏异界」,2017,12,11
36,火帽三藏,49.98,儒道天下,第二百零五章大结局,「玄幻·东方玄幻」,2016,10,8
37,孟天云巅,49.93,海贼王之最强传说,完本感言,「二次元·原生幻想」,2017,11,1
38,李白不白,49.92,文艺王冠,几句肺腑之言，一本新书上传,「都市·都市生活」,2016,5,6
39,拇指小子,49.91,异界修神传奇,第一七二章大结局,「玄幻·异世大陆」,2007,10,30
40,夜枫Va兜.QD,49.89,炼器宗师在异界,第二十四章宗师密藏(结局),「玄幻·异世大陆」,2011,10,31
41,咚里个咚,49.87,机械之征战诸天,第二十七章恒古一瞬,「游戏·游戏异界」,2018,1,22
42,吃货大联盟,49.82,安格拉斯之剑,第二百二十三章欲望使人毁灭,「奇幻·剑与魔法」,2017,6,5
43,追梦之斑马,49.82,奥术降临,第二百一十五章统一地球（结局）,「科幻·进化变异」,2016,9,9
44,行易难,49.82,学园都市之物质投影,41魔法少女的结局,「二次元·衍生同人」,2016,8,1
45,孤独的小蟑,49.82,一拳超人之我是琦玉,新书《我乃真神》！,「二次元·衍生同人」,2017,5,4
46,二月二十八日,49.8,罚魂,0209出城,「玄幻·王朝争霸」,2013,5,26
47,幽灵123,49.79,异世赛亚人,终结章！最后的结局！,「二次元·衍生同人」,2017,6,6
48,西斯凯都,49.78,篮坛最强分卫,抱歉,「体育·篮球运动」,2017,8,1
49,情人的刀,49.77,开挂的程序员,第一百零五章大结局,「都市·都市生活」,2018,8,6
0,暴君嬴政,49.74,重生香港大亨,第一百八十二章大结局,「都市·娱乐明星」,2011,8,31
1,上官凡飞,49.72,侠义恩仇传,第一百二十章江湖路尽大结局下,「武侠·传统武侠」,2017,7,26
2,一克拉的冰菓,49.72,冰菓与文豪,新书《冰菓之推理天王》已发布,「二次元·衍生同人」,2017,8,1
3,我是笑三少,49.69,绝对静默,第二百零四章大结局,「军事·战争幻想」,2018,5,10
4,89,49.67,回到85年,第150章【尾声】,「都市·都市生活」,2009,4,14
5,黄山忆,49.65,玄界好卡,对不起了诸位。,「玄幻·异世大陆」,2018,1,9
6,风起闲云,49.63,新六界仙尊,后记,「仙侠·幻想修仙」,2017,4,13
7,我本疯狂,49.62,丹帝,第一百八十七章【决战】,「玄幻·异世大陆」,2008,6,4
8,沐轶,49.61,明朝卦师,第175掌旭日东升,「历史·两宋元明」,2016,8,16
9,青棘,49.59,京都文豪,新书：二次元之悠闲,「都市·都市生活」,2015,8,14
10,提莫采蘑菇,49.57,最强三界临时工,第二百四十九章最后,「都市·异术超能」,2017,4,5
11,抠脚真人,49.56,英雄联盟之冠军教练,第72章一般一般,「游戏·电子竞技」,2016,10,27
12,高人在哪,49.54,洪荒战神,后记,「仙侠·神话修真」,2009,2,5
13,活的橙子,49.53,大叶皇朝,推荐自己新书《朕的皇途》,「历史·架空历史」,2016,8,19
14,风火01,49.52,光明之子的超人,第五十五章一段落,「科幻·时空穿梭」,2014,11,29
15,把酒迎风,49.46,窥道诸天,书写到这里告一段落了。,「仙侠·幻想修仙」,2017,8,29
16,o叶,49.46,恶鬼厨灵师,起点暂时不写了，新书《剑行九天》,「灵异·灵异鬼怪」,2018,3,29
17,陌上无刀,49.44,血海山河录,第二百二十七章最后的裁决（最终章）,「武侠·武侠幻想」,2016,6,22
18,龙山小米,49.44,大亨之路,公告,「都市·都市生活」,2016,1,23
19,黑夜的雨,49.43,低调仙人,新书，希望大家多支持,「玄幻·异世大陆」,2014,5,12
20,坐爱晚枫林,49.43,无限主角之父,推荐新书《主神家族》,「科幻·时空穿梭」,2017,10,30
21,王与七七,49.41,本系统从不坑人,第235章不是结局的结局,「科幻·时空穿梭」,2017,8,2
22,大肚靓,49.39,踏梦之征,第二百三十章痕迹,「游戏·游戏异界」,2018,3,9
23,豫北黄沙,49.38,华山恩仇,第二百二十七章团圆,「武侠·传统武侠」,2016,10,20
24,灶哥,49.36,英雄联盟之神威电竞,尾声,「游戏·电子竞技」,2017,2,6
25,王绍,49.36,最强宫主,结局,「玄幻·王朝争霸」,2016,9,17
26,油炸大鸡腿,49.35,海贼王里的弹药专家,第九十一章.不知何时才能醒来的梦,「二次元·衍生同人」,2017,3,31
27,华晓鸥,49.35,重生之全能赢家,第41章：暑假结束,「体育·篮球运动」,2018,2,26
28,七月六日,49.35,学园偶像系统,新书，《请叫我女装大佬》,「二次元·衍生同人」,2017,12,28
29,冬想,49.32,岳高的超日常,新书《国产救世机器》！,「科幻·时空穿梭」,2017,6,25
30,李老攻,49.32,我以手机坑天庭,第二百二十章结局〔作者感言〕,「都市·异术超能」,2017,5,2
31,落烟火,49.31,神级法则,结局,「都市·异术超能」,2017,8,24
32,懒鸟,49.3,无尽追缉,第九十四章,「科幻·超级科技」,2015,11,3
33,柳恨水,49.29,渡人成魔,新书发布无限轮回之主,「武侠·传统武侠」,2018,8,2
34,青山铁杉,49.26,重生我的时代,我开新书了，书名叫六万年之后！,「都市·都市生活」,2017,11,10
35,苍穹吃货,49.24,吞噬之血洛神帝,第七十三章启程,「二次元·衍生同人」,2017,11,1
36,幽雪冥蝶,49.2,我绝对不可能是妹控,尾声,「都市·都市生活」,2013,4,30
37,锅罗,49.2,末世之巫师,完本了。,「科幻·进化变异」,2016,9,7
38,罗慕路,49.19,大明逍遥行,第二百零九回南安一梦,「武侠·武侠幻想」,2016,12,20
39,务农耕田,49.19,穿唐历险记,第一百八十七章大结局,「历史·架空历史」,2016,12,14
40,山金,49.19,无限漫威之黑侠传记,新书上传,「科幻·时空穿梭」,2016,2,18
41,不敢闭眼,49.18,网游之npc大乱斗,225意想不到的结局,「游戏·虚拟网游」,2018,3,8
42,亘古孤寂,49.18,洪荒之魔临万古,完本感言及新书相关,「仙侠·神话修真」,2017,6,2
43,月中阴,49.17,至尊奇迹,本书暂停，专心写法师！,「玄幻·东方玄幻」,2015,4,20
44,沙眸,49.17,不朽炼气士,完本感言，新书《不朽大皇帝》已发布,「仙侠·幻想修仙」,2017,9,12
45,疯癫的小鸟,49.15,山寺鬼棺,第二百三十六章三世,「灵异·灵异鬼怪」,2017,12,31
46,舒啸,49.15,霸王新传,后记,「历史·秦汉三国」,2007,8,31
47,避世刀皇,49.13,小霸王游戏穿梭机,第二十三章愿与你共赏桃花（大结局）,「科幻·时空穿梭」,2017,10,9
48,短歌重行,49.11,征服荒野,第一百八十五章阶段性的结局,「都市·异术超能」,2018,4,27
49,三国小小生,49.1,异界回到武侠时代,第一章终章（浓缩版）,「武侠·武侠幻想」,2018,7,9
0,独回孤影,49.09,艾泽拉斯的流浪者,第一百四十九章不眠之夜（下）,「游戏·游戏异界」,2016,5,27
1,红雪橙,49.08,足球之外挂中场,第230章中锋是神马（完）,「体育·足球运动」,2011,6,30
2,板砖军师,49.07,野望之三河梦幻,第一百三十五章身前生后事（大结局一）,「历史·外国历史」,2014,4,9
